Title,Year,Rating,Casts,Director,Adjusted score,Synopsis,Census
Fast Five,2011,77,"Vin Diesel,  Paul Walker,  Jordana Brewster,  Tyrese Gibson",Justin Lin,84706.0,Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of...,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise."
Lethal Weapon,1987,80,"Mel Gibson,  Danny Glover,  Gary Busey,  Mitchell Ryan",Richard Donner,84400.0,"Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he...","The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s."
The Rock,1996,68,"Sean Connery,  Nicolas Cage,  Ed Harris,  Michael Biehn",Michael Bay,71911.0,"FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John...","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain."
RoboCop,1987,90,"Peter Weller,  Nancy Allen,  Ronny Cox,  Daniel O'Herlihy",Paul Verhoeven,95750.0,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the...","While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."
John Wick: Chapter 2,2017,89,"Keanu Reeves,  Common,  Laurence Fishburne,  Riccardo Scamarcio",Chad Stahelski,108500.0,Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows...,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
Casino Royale,2006,94,"Daniel Craig,  Eva Green,  Mads Mikkelsen,  Judi Dench",Martin Campbell,104539.0,"After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers...","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007."
Baby Driver,2017,92,"Ansel Elgort,  Kevin Spacey,  Lily James,  Jon Bernthal",Edgar Wright,121585.0,Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the...,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills."
Fist of Legend,1994,100,"Jet Li,  Chin Siu Ho,  Billy Chow,  Yasuaki Kurata",Gordon Chan,47846.0,"Chinese martial arts student Chen Zhen (Jet Li) is studying in Kyoto, Japan, when he learns his mentor has died...",No consensus yet.
The Killer,1989,98,"Chow Yun-Fat,  Danny Lee,  Sally Yeh,  Kenneth Tsang",John Woo,99816.0,"Mob assassin Jeffrey (Chow Yun-Fat) is no ordinary hired gun; the best in his business, he views his chosen profession...",The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.
The Raid 2,2014,82,"Iko Uwais,  Yayan Ruhian,  Arifin Putra,  Oka Antara",Gareth Evans,88169.0,"After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal...","Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor."
Enter the Dragon,1973,95,"Bruce Lee,  John Saxon,  Jim Kelly,  Ahna Capri",Robert Clouse,99109.0,Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death...,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song."
Commando,1985,69,"Arnold Schwarzenegger,  Rae Dawn Chong,  Dan Hedaya,  Vernon Wells",Mark L. Lester,70445.0,"Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is...",No consensus yet.
First Blood,1982,85,"Sylvester Stallone,  Richard Crenna,  Brian Dennehy,  David Caruso",Ted Kotcheff,87786.0,Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old...,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills."
Mission: Impossible Rogue Nation,2015,94,"Tom Cruise,  Jeremy Renner,  Simon Pegg,  Rebecca Ferguson",Christopher McQuarrie,106482.0,"With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the...",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.
