Title,Year,Rating,Casts,Director,Adjusted score,Synopsis,Census
Machete,2010,72,"Danny Trejo,  Robert De Niro,  Jessica Alba,  Steven Seagal",Robert Rodriguez,79203.0,"After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete...","Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films."
Drive,2011,93,"Ryan Gosling,  Carey Mulligan,  Bryan Cranston,  Albert Brooks",Nicolas Winding Refn,102458.0,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,...","With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action."
Batman,1989,71,"Jack Nicholson,  Michael Keaton,  Kim Basinger,  Robert Wuhl",Tim Burton,77368.0,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City...","An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character."
Under Siege,1992,79,"Steven Seagal,  Tommy Lee Jones,  Gary Busey,  Erika Eleniak",Andrew Davis,80786.0,"A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the...",No consensus yet.
Independence Day,1996,68,"Will Smith,  Bill Pullman,  Jeff Goldblum,  Mary McDonnell",Roland Emmerich,71559.0,"In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the...","The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers."
Bullitt,1968,98,"Steve McQueen,  Robert Vaughn,  Jacqueline Bisset,  Don Gordon",Peter Yates,102189.0,Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of...,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.
Wanted,2008,71,"James McAvoy,  Morgan Freeman,  Angelina Jolie,  Terence Stamp",Timur Bekmambetov,79289.0,"Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he...","Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot."
Superman: The Movie,1978,94,"Christopher Reeve,  Gene Hackman,  Marlon Brando,  Margot Kidder",Richard Donner,101094.0,"Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship...","Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon."
Ronin,1998,68,"Robert De Niro,  Jean Reno,  Natascha McElhone,  Stellan Skarsgard",John Frankenheimer,71486.0,"Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of...",No consensus yet.
They Live,1988,85,"Roddy Piper,  Keith David,  Meg Foster,  George ""Buck"" Flower",John Carpenter,88818.0,"Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world...","A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter."
Cliffhanger,1993,67,"Sylvester Stallone,  John Lithgow,  Michael Rooker,  Janine Turner",Renny Harlin,71273.0,Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100...,No consensus yet.
Marvel's the Avengers,2012,91,"Robert Downey Jr.,  Chris Evans,  Mark Ruffalo,  Chris Hemsworth",Joss Whedon,105986.0,"When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract,...","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies."
Hot Fuzz,2007,91,"Simon Pegg,  Nick Frost,  Jim Broadbent,  Paddy Considine",Edgar Wright,99730.0,"As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the...",The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.
The Warriors,1979,87,"Michael Beck,  James Remar,  Dorsey Wright,  Brian Tyler",Walter Hill,89719.0,A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are...,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking."
Starship Troopers,1997,66,"Casper Van Dien,  Dina Meyer,  Denise Richards,  Jake Busey",Paul Verhoeven,70054.0,"In the distant future, the Earth is at war with a race of giant alien insects. Little is known about...",A fun movie...if you can accept the excessive gore and wooden acting.
Elite Squad 2,2010,91,"Wagner Moura,  Irandhir Santos,  AndrÃ© Ramiro,  Pedro Van-Held",JosÃ© Padilha,91964.0,"Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura)....","Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force."
Point Break,1991,69,"Patrick Swayze,  Keanu Reeves,  Gary Busey,  Lori Petty",Kathryn Bigelow,72881.0,"After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a...","Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive."
The Long Kiss Goodnight,1996,70,"Geena Davis,  Samuel L. Jackson,  Patrick Malahide,  Craig Bierko",Renny Harlin,70197.0,Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories...,No consensus yet.
The Guest,2014,92,"Dan Stevens,  Maika Monroe,  Leland Orser,  Sheila Kelley",Adam Wingard,95290.0,A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on...,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard."
Taken,2008,59,"Liam Neeson,  Maggie Grace,  Famke Janssen,  Leland Orser",Pierre Morel,64988.0,"Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his...","Taken is undeniably fun with slick action, but is largely a brainless exercise."
300,2006,61,"Gerard Butler,  Lena Headey,  David Wenham,  Dominic West",Zack Snyder,71221.0,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the...",No consensus yet.
True Lies,1994,71,"Arnold Schwarzenegger,  Jamie Lee Curtis,  Tom Arnold,  Bill Paxton",James Cameron,74154.0,"Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down...",No consensus yet.
Demolition Man,1993,60,"Sylvester Stallone,  Wesley Snipes,  Sandra Bullock,  Nigel Hawthorne",Marco Brambilla,60895.0,"With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)...","A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock."
Hardcore Henry,2015,51,"Sharlto Copley,  Danila Kozlovsky,  Haley Bennett,  Dasha Charusha",Ilya Naishuller,59731.0,A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a...,No consensus yet.
Police Story,1985,93,"Jackie Chan,  Brigitte Lin,  Maggie Cheung,  Bill Tung",Jackie Chan,93766.0,A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom...,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats."
Brotherhood of the Wolf,2001,73,"Samuel Le Bihan,  Mark Dacascos,  Ãmilie Dequenne,  Vincent Cassel",Christophe Gans,76669.0,"In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women...","Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining."
Kingsman: The Secret Service,2014,75,"Colin Firth,  Michael Caine,  Taron Egerton,  Samuel L. Jackson",Matthew Vaughn,84699.0,"Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing...","Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon."
The Fifth Element,1997,71,"Bruce Willis,  Gary Oldman,  Ian Holm,  Milla Jovovich",Luc Besson,74101.0,"In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in...",No consensus yet.
Big Trouble in Little China,1986,74,"Kurt Russell,  Kim Cattrall,  Dennis Dun,  James Hong",John Carpenter,79850.0,"Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's...","Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them."
Atomic Blonde,2017,79,"Charlize Theron,  James McAvoy,  Eddie Marsan,  John Goodman",David Leitch,105292.0,"Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of...",Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.
Rumble in the Bronx,1995,80,"Jackie Chan,  Anita Mui,  Bill Tung,  FranÃ§oise Yip",Stanley Tong,81428.0,"Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a...",An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.
District B13,2004,80,"Cyril Raffaelli,  David Belle,  Tony D'Amario,  Larbi Naceri",Pierre Morel,84476.0,"In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a...","A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws."
Beverly Hills Cop,1984,83,"Eddie Murphy,  Judge Reinhold,  John Ashton,  Lisa Eilbacher",Martin Brest,87051.0,"After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly...","The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny."
Ong-Bak: The Thai Warrior,2003,85,"Tony Jaa,  Pumwaree Yodkamol,  Petchtai Wongkamlao,  Suchao Pongwilai",Prachya Pinkaew,88825.0,"In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily...","While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li."
Collateral,2004,86,"Tom Cruise,  Jamie Foxx,  Jada Pinkett Smith,  Mark Ruffalo",Michael Mann,94724.0,A cab driver realizes his current fare is a hit man that has been having him drive around from mark...,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller."
Iron Monkey,1993,91,"Rongguang Yu,  Donnie Yen,  Sze-Man Tsang,  Jean Wang",Woo-Ping Yuen,93283.0,"In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge...","Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy."
Escape From New York,1981,86,"Kurt Russell,  Ernest Borgnine,  Adrienne Barbeau,  Lee Van Cleef",John Carpenter,91500.0,"In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of...","Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness."
Battle Royale,2000,88,"Tatsuya Fujiwara,  Aki Maeda,  Taro Yamamoto,  Masanobu AndÃ´",Kinji Fukasaku,88116.0,"42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive...","Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes."
Spider-Man 2,2004,93,"Tobey Maguire,  Kirsten Dunst,  James Franco,  Alfred Molina",Sam Raimi,103320.0,"When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is...","Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original."
13 Assassins,2010,95,"Koji Yakusho,  Takayuki Yamada,  Yusuke Iseya,  Goro Inagaki",Takashi Miike,99624.0,"In this remake of a 1963 film based on historical events, Shinzaemon Shimada (Koji Yakusho) leads a team of assassins...","Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache."
Full Contact,1992,88,"Chow Yun-Fat,  Simon Yam,  Bonnie Fu,  Wong Chow-Sang",Ringo Lam,66866.0,"Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating...",No consensus yet.
Indiana Jones and the Last Crusade,1989,88,"Harrison Ford,  Sean Connery,  Denholm Elliott,  Alison Doody",Steven Spielberg,92982.0,An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist...,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery."
Kung Fu Hustle,2004,91,"Stephen Chow,  Yuen Wah,  Yuen Qiu,  Siu-Lung Leung",Stephen Chow,97403.0,"When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig...","Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect."
A Better Tomorrow,1986,93,"Ti Lung,  Chow Yun-Fat,  Leslie Cheung,  Emily Chu",John Woo,92525.0,A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father....,No consensus yet.
Iron Man,2008,94,"Robert Downey Jr.,  Terrence Howard,  Gwyneth Paltrow,  Jeff Bridges",Jon Favreau,104464.0,"A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him...","Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun."
The Night Comes for Us,2018,91,"Joe Taslim,  Iko Uwais,  Julie Estelle,  Sunny Pang",Timo Tjahjanto,91096.0,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family....","A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch."
Logan,2017,93,"Hugh Jackman,  Patrick Stewart,  Dafne Keen,  Richard E. Grant",James Mangold,124751.0,"In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote...","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions."
Goldfinger,1964,99,"Sean Connery,  Gert Frobe,  Honor Blackman,  Shirley Eaton",Guy Hamilton,105055.0,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and...","Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark."
Assault on Precinct 13,1976,96,"Austin Stoker,  Darwin Joston,  Laurie Zimmer,  Martin West",John Carpenter,100453.0,"When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way...","Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best."
Wonder Woman,2017,93,"Gal Gadot,  Chris Pine,  Connie Nielsen,  Robin Wright",Patty Jenkins,127544.0,"Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior....","Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion."
The Chinese Connection,1972,83,"Bruce Lee,  Miao Ker Hsiu,  James Tien,  Robert Baker",Lo Wei,83337.0,"Chen Zhen (Bruce Lee) has left his homeland of China and relocated to stay with family in Thailand. Chen, who...",No consensus yet.
Captain America: The Winter Soldier,2014,90,"Chris Evans,  Scarlett Johansson,  Samuel L. Jackson,  Sebastian Stan",Anthony Russo,102282.0,"After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in...","Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards."
Oldboy,2003,81,"Choi Min-sik,  Yoo Ji-tae,  Kang Hye-jung,  Ji Dae-han",Park Chan-wook,86681.0,"Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the...","Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge."
The French Connection,1971,98,"Gene Hackman,  Fernando Rey,  Roy Scheider,  Tony Lo Bianco",William Friedkin,105924.0,"New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler....","Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production."
Furious 7,2015,82,"Vin Diesel,  Paul Walker,  Dwayne Johnson,  Michelle Rodriguez",James Wan,92323.0,"After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew...","Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one."
